Year..yyyy.,Missing.data..see.colored.cell.,Metal.Band....top..right.leg...xxxx.xxxxx.,Color.bands..RFID..top.....bottom...ABC.,Sex..M.F.,Date..mm.dd.yy.,Time..military...07.45.,Year..yyyy..1,Location..F..MN..NB....yellow.if.snap.trapped.in.NB..thus.a.breeder.,Status..New.Prev.year..Rs.not.entered.here..N.P.,IA.STATUS..If..P...was.it.even.an.IA..Note..An.IA.s.first..R..of.season.requires.all.measures...IA...,If..P...Age.when.first.caught..nestling...HY..SY..ASY..AHY.,If..P...Year.first.caught..yyyy.,If..P...Location.first.caught..F..MN..NB...,Exact.year.of.life..if.known....,Age..see.guide...Nestling.HY..SY..ASY..AHY.,Color.crest..3blk.2drk.grey.1lt.grey.,Color.base.lower.mandible..3blk.2drk.grey.1lt.grey.,Tarsus..10th.mm...xx.x.,Wing..10th.mm...xx.x.,Who.measured.tars.wing..initials.,Blood.Taken..Y.Need......na.,Tail.feather.pulled..3rd.from.bird.s.right....Y.N.,Spec..Y.N.,Crest.photo..Y.N.,Mass..10th.g...xx.x.,RFID....bottom..right.leg...xxxxxxxxxx.,BREEDING.in.current.year..LOCATION..NB..,BREEDING.in..current.year..PARTNER..metal..color......ABC.,Bred..in.PAST..YEAR..yyyy.,Bred..in.PAST..LOCATION..NB..,Bred..in.PAST..PARTNER....metal..color.......ABC.,Notes,Other.Notes,Recapture.date..mm.dd.yy.,Recapture.location..F..MN..NB..,X,X.1,X.2,X.3,X.4,X.5,X.6,X.7,X.8,X.9,X.10,X.11,X.12,X.13
2018,,258115489,YWT,M,06/06/18,,2018,Trial 16,,,,,,,AHY,.,.,20.4,.,.,Yes,.,.,.,19.3,01103F8D5A,,,,,,"*Duplicate band. GPS point: N 29°40'41"", W 98°21'31""; nicknamed Zeus. ",,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,,258115490,SOR,F,06/07/18,,2018,Trial 9,,,,,,,HY,.,.,19.3,.,.,Yes,.,.,.,17.0,011016ADEF,,,,,,"GPS point: N 29°40'58"", W 98°20'53""",,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,,258115493,STY,M,06/08/18,,2018,Trial *,,,,,,,HY,.,.,20.4,.,.,Yes,.,.,.,19.2,011016A3DE,,,,,,"*Not a trial, catching at the pond; GPS point: N 29°38'27"", W 98°18'10""; nicknamed Hydra",,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,,258115491,YOY,F,06/08/18,,2018,Trial *,,,,,,,HY,.,.,19.5,.,.,Yes,.,.,.,16.1,011016CDA2,,,,,,"*Not a trial, catching at the pond; GPS point: N 29°38'27"", W 98°18'10""; nicknamed Perseus",,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,,258115494,YBW,F,06/11/18,,2018,Trial 17,,,,,,,HY,.,.,19.6,.,.,Yes,.,.,.,18.1,01103F4C6A,,,,,,"GPS point: N 29°34'9"", W 98°22'36""",,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,,258115500,YOG,M,06/11/18,,2018,Trial 18,,,,,,,AHY,.,.,21.5,.,.,Yes,.,.,.,20.2,01103F3C6B,,,,,,"GPS point: N 29°34'9"", W 98°22'36""; *same GPS point as last trial, so possib;y not accurate",,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,,258115496,STB,M,06/12/18,,2018,Trial 20,,,,,,,HY,.,.,20.0,.,.,Yes,.,.,.,19.0,011016C8D8,,,,,,"GPS point: N 29°40.322', W 098°21.945'",,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,,258115495,YOW,M,06/12/18,,2018,Trial 19,,,,,,,HY,.,.,20.5,.,.,Yes,.,.,.,18.4,011016ADA8,,,,,,Right wing: molting 1st and 2nd primary; left wing: molting 1st and second primary; no GPS point,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,,258115498,SWG,F,06/15/18,,2018,Trial 22,,,,,,,HY,.,.,19.2,.,.,Yes,.,.,.,17.3,011016E912,,,,,,"GPS point: N 29°40.521', W 098°20.592'",,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,,275045021,SGB,F,06/16/18,,2018,Trial 22,,,,,,,HY,.,.,19.2,.,.,Yes,.,.,.,16.9,011016BE38,,,,,,"GPS point: N 29°40'52', W 098°20'59""",,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,,258115497,YRO,F,06/16/18,,2018,Trial 23,,,,,,,HY,.,.,20.2,.,.,Yes,.,.,.,16.7,01103F64F2,,,,,,"GPS point: N 29°40.533', W 098°20.671'",,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,,244102001,YBT,M,06/18/18,,2018,Trial 24,,,,,,,HY,.,.,21.2,.,.,Yes,.,.,.,19.4,01103F8F14,,,,,,"GPS point: N 29°40.535, W 098°20.765'",,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,,244102003,SSW,M,06/21/18,,2018,Trial 28,,,,,,,AHY,.,.,20.1,.,.,Yes,.,.,.,17.8,011016F797,,,,,,"GPS point: N 29°40.322', W 098°22.179'",,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,,244102002,YRG,F,06/21/18,,2018,Trial 28,,,,,,,HY,.,.,20.2,.,.,Yes,.,.,.,16.0,01103F729C,,,,,,"GPS point: N 29°40.322', W 098°22.179'",,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,,244102006,SRS,M,06/22/18,,2018,Trial 31,,,,,,,HY,.,.,21.8,.,.,Yes,.,.,.,19.9,01101702F5,,,,,,"GPS point: N 29˚40.611', W 098˚20.311' ; dark grey crest (female?), really aggressive in net and holding",,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,,244102004,YGO,M,06/22/18,,2018,Trial 30,,,,,,,HY,.,.,20.4,.,.,Yes,.,.,.,19.1,01103F6E06,,,,,,"GPS point: N 29°27.939', W 098°29.013'",,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,,244102005,YST,M,06/22/18,,2018,Trial 30,,,,,,,HY,.,.,20.3,.,.,Yes,.,.,.,17.4,011016C23F,,,,,,"GPS point: N 29°27.939', W 098°29.013'",,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,,244102007,YGR,M,06/23/18,,2018,Trial 32,,,,,,,HY,.,.,20.3,.,.,Yes,.,.,.,19.5,011016AD77,,,,,,"GPS point: N 19˚40.432', W 098˚20.182' ; see wing picture - only on right wing",,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,,244102008,YSB,M,06/23/18,,2018,Trial 33,,,,,,,HY,.,.,20.2,.,.,Yes,.,.,.,19.4,01103F77EB,,,,,,"GPS point: N 29˚40'099"", W 098˚20'014"" ; Female - male was singing in the tree and attacked the model while the female was caught",,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,,244102009,YYR,M,06/23/18,,2018,Trial 33,,,,,,,HY,.,.,19.9,.,.,Yes,.,.,.,20.0,011016B7A6,,,,,,"GPS point: N 29˚40'099"", W 098˚20'014"" ; difficulty bleeding, took blood from both wings",,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,,258114483,SBY,M,06/25/18,,2018,Trial 34,,,,,,,AHY,.,.,21.2,.,.,Yes,.,.,.,20.1,*,,,,,,"GPS point: N 29˚41.041', W 098˚20.034' ; changed bands, already caught; Bambi Alfallfa Argus",,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,,244102010,YRY,M,06/25/18,,2018,Trial 35,,,,,,,HY,.,.,21.4,.,.,Yes,.,.,.,18.8,01103F7404,,,,,,"GPS point: N 29˚40.340', W 098˚20.289' ; body molt - belly and back; 3/2 primary, 2 secondary (both sides) ",,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,,244102011,SGT,M,06/26/18,,2018,Trial 37,,,,,,,HY,.,.,19.5,.,.,Yes,.,.,.,17.6,011016D447,,,,,,"GPS point: N 29˚40.150', W 098˚20.319' ; 1,4 primary mold right wing ; 4 primary mold left wing; back-molt",,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,,244102012,YSS,M,06/27/18,,2018,Trial 39,,,,,,,HY,.,.,20.7,.,.,Yes,.,.,.,18.6,01103F39E0,,,,,,"GPS point: N 29˚39.856', W 098˚20.358' ; only has two tail feathers ; Name = Psycho Apocalypse",,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,,244102013,SBT,M,06/29/18,,2018,Trial 42,,,,,,,HY,.,.,20.7,.,.,Yes,.,.,.,20.2,011016A710,,,,,,"GPS point: N 29˚39.467', W 098˚20.021' ; primary 3+2+1 molt, bald wing muscle and legs",,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,,244102014,YGS*,M,06/29/18,,2018,Trial 43,,,,,,,HY,.,.,20.1,.,.,Yes,.,.,.,19.9,011016D85E,,,,,,"GPS point: N 29˚361', W 098˚19.931' (incorrect N coordinate? Also, duplicate band combo with bird 244102015)*.                                      Female? (heard singing in trees); missing feathers between the eyes and the bill; 4 Primary Molting",,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,,244102015,YGS,M,07/02/18,,2018,Trial 22,,,,,,,HY,.,.,20.8,.,.,Yes,.,.,.,19.4,011016E30A,,,,,,"GPS point: GPS point: N 29°40.521', W 098°20.592'    Duplicate band combo with bird 244102014*",,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,,244102017,YOR,M,07/07/18,,2018,Trial 47,,,,,,,HY,.,.,20.7,.,.,Yes,.,.,.,19.4,01103F6D95,,,,,,"GPS point: N 29˚39.466', W 098˚20.776'",,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,,244102016,YTW,F,07/07/18,,2018,Trial 47,,,,,,,HY,.,.,19.0,.,.,Yes,.,.,.,16.0,01103F6EFB,,,,,,"GPS point: N 29˚39.466', W 098˚20.776'",,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,,244102018,SYB,M,07/09/18,,2018,Trial 44,,,,,,,AHY,.,.,20.4,.,.,Yes,.,.,.,17.8,0110174DD9,,,,,,"GPS point: N 29˚39.869', W 098˚20.505'",,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,,244102020,SWT,F,07/10/18,,2018,Trial 26,,,,,,,HY,.,.,18.9,.,.,Yes,.,.,.,15.9,011016E7BA,,,,,,"GPS point: N 29˚40.335', W 098˚21.031'      1,8 secondary molt left; 1,9,10 secondary right molting",,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,,244102019,YRT,M,07/10/18,,2018,Trial 26,,,,,,,AHY,.,.,19.5,.,.,Yes,.,.,.,18.7,011016C514,,,,,,"GPS point: N 29˚40.335', W 098˚21.031'",,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,,244102021,YSL,F,07/11/18,,2018,Trial 51,,,,,,,HY,.,.,19.9,.,.,Yes,.,.,.,16.0,011016DEBB,,,,,,"GPS point: N 29˚41.087', W 098˚19.923'",,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,,244102022,SST,M,07/12/18,,2018,Trial 53,,,,,,,AHY,.,.,20.5,.,.,Yes,.,.,.,17.4,011016C3D6,,,,,,"GPS point: N 29˚40.186', W 098˚21.265'  Weird toe, right foot - toenail fell off during measurements. ",,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,,244102024,,,04/18/19,,2019,NB8,,,,,,,Nestling,.,.,19.2,.,.,Yes,.,.,.,18.53 (w/ fecal sac),011016ECBF,,,,,,"Only 2 survivors of 8 hatchlings, but no nest damage. Re-caught @ Feeder 4, 10/12, at 8:54 am",,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,,244102023,SYR,,04/18/19,,2019,NB8,,,,,,,Nestling,.,.,19.3,.,.,Yes,.,.,.,16.6,011016A7D3,,,,,,"Two adults nearby, one w/ food in beak, both chattering (one unbanded)",,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,,244102030,YLS,,04/18/19,,2019,NB29,,,,,,,Nestling,.,.,19.5,.,.,Yes,.,.,.,18.1,011016CAE9,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,,244102025,YSG,,04/18/19,,2019,NB29,,,,,,,Nestling,.,.,18.4,.,.,Yes,.,.,.,17.3,01103F6CB3,,,,,,"One adult chattering nearby; one more came close, also chattering",,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,,244102027,YWS,,04/18/19,,2019,NB29,,,,,,,Nestling,.,.,19.4,.,.,Yes,.,.,.,16.7,0110135571*,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,,244102028,YYT,,04/18/19,,2019,NB29,,,,,,,Nestling,.,.,18.3,.,.,Yes,.,.,.,16.0,011017397A,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,,244102031,YYW,,04/18/19,,2019,NB29,,,,,,,Nestling,.,.,18.4,.,.,Yes,.,.,.,16.6,01103F6191,,,,,,*Duplicate band combo with juv from 13,"11/3/2021 - The data sheet does not confirm blood, will need to verify in refrigerator",,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,,244102026,YYY,,04/18/19,,2019,NB29,,,,,,,Nestling,.,.,18.7,.,.,Yes,.,.,.,16.6,011016F2FA,,,,,,Sticker for this RFID tag ended up in the trash but was found and verified on 4/20/19,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,,244102034,SOO,,04/19/19,,2019,NB1,,,,,,,Nestling,.,.,18.1,.,.,Yes,.,.,.,18.1,011016EF46,,,,,,Parent flew in and out of box quickly when we first arrived at the box,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,,244102035,SOS,,04/19/19,,2019,NB1,,,,,,,Nestling,.,.,18.3,.,.,Yes,.,.,.,18.3,011016AE88,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,,244102036,SRL,,04/19/19,,2019,NB1,,,,,,,Nestling,.,.,18.4,.,.,Yes,.,.,.,18.4,011016C0E2,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,,244102033,SSY,,04/19/19,,2019,NB1,,,,,,,Nestling,.,.,16.5,.,.,Yes,.,.,.,16.5,011016CE9F,,,,,,Not much blood taken,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,,244102037,STR,,04/19/19,,2019,NB1,,,,,,,Nestling,.,.,19.2,.,.,Yes,.,.,.,19.2,011016F790,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,,244102038,SYG,,04/19/19,,2019,NB1,,,,,,,Nestling,.,.,18.2,.,.,Yes,.,.,.,18.2,011016BF7B,,,,,,*Parent likely abandoned nest; all nestlings were found deceased inside the nest on 4/23/19,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,,244102032,SYO,,04/19/19,,2019,NB1,,,,,,,Nestling,.,.,17.8,.,.,Yes,.,.,.,17/8,011016AD6C,,,,,,"Bird is very stressed, not responsive",,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,,244102044,YGW,,04/19/19,,2019,NB13,,,,,,,Nestling,.,.,18.9,.,.,Yes,.,.,.,16.0,011016B7B2,,,,,,Weighed with metal band; RFID tag applied on 4/20/19,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,,244102040,YLW,,04/19/19,,2019,NB13,,,,,,,Nestling,.,.,18.9,.,.,Yes,.,.,.,16.9,011016CDBE,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,,244102042,YOO,,04/19/19,,2019,NB13,,,,,,,Nestling,.,.,19.0,.,.,Yes,.,.,.,16.5,0110171C36,,,,,,Weighed with metal band,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,,244102041,YRR,,04/19/19,,2019,NB13,,,,,,,Nestling,.,.,19.0,.,.,Yes,.,.,.,16.6,01103F7472,,,,,,Weighed with metal band,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,,244102043,YSY,,04/19/19,,2019,NB13,,,,,,,Nestling,.,.,19.7,.,.,Yes,.,.,.,18.8,011016B09C,,,,,,Weighed with metal band,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,,244102039,YYW,,04/19/19,,2019,NB13,,,,,,,Nestling,.,.,18.9,.,.,Yes,.,.,.,17.2,011016BEB0,,,,,,*Duplicate band combo with juv from 29,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,,244102048,SLL,,04/19/19,,2019,NB65,,,,,,,Nestling,.,.,18.3,.,.,Yes,.,.,.,18.3,011016ABB3,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,,244102046,SRB,,04/19/19,,2019,NB65,,,,,,,Nestling,.,.,19.5,.,.,Yes,.,.,.,19.5,011016F58A,,,,,,,,,,05/31/21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,,244102049,SRW,,04/19/19,,2019,NB65,,,,,,,Nestling,.,.,18.9,.,.,Yes,.,.,.,18.9,011016DA4B,,,,,,,,,,04/21/21 NB64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,,244102047,SSL,,04/19/19,,2019,NB65,,,,,,,Nestling,.,.,19.1,.,.,Yes,.,.,.,19.1,011016CE16,,,,,,The sky band looks like white on this nestling,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,,244102051,STG,,04/19/19,,2019,NB65,,,,,,,Nestling,.,.,19.4,.,.,Yes,.,.,.,19.4,01101714B8,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,,244102045,STL,,04/19/19,,2019,NB65,,,,,,,Nestling,.,.,17.7,.,.,Yes,.,.,.,14.5,011016DB25,,,,,,RFID tags added to all nestlings on 4/20/19,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,,244102050,STO,,04/19/19,,2019,NB65,,,,,,,Nestling,.,.,19.2,.,.,Yes,.,.,.,19.2,011016AC90,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,,244102058,SBW,,04/20/19,,2019,NB39,,,,,,,Nestling,.,.,.,.,.,Yes ,.,.,.,17.1,011016ED4D,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,,244102059,SGO,,04/20/19,,2019,NB39,,,,,,,Nestling,.,.,.,.,.,Yes ,.,.,.,16.7,011016F6D4,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,,244102056,SGR,,04/20/19,,2019,NB29,,,,,,,AHY,.,.,.,.,.,Yes,.,.,.,.,011016A73F,,,,,,"Blue under bill, SY",,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,,244102060,SLT,,04/20/19,,2019,NB39,,,,,,,Nestling,.,.,.,.,.,Yes ,.,.,.,15.6,011016AA27,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,,244102052,SOT,,04/20/19,,2019,NB1,,,,,,,AHY,.,.,.,.,.,Yes,.,.,.,.,011016A3E3,,,,,,Male singing outside box; caught bird is smaller than summer males; multiple unsuccessful bleeding attempts on both wings (couldn't visualize veins); bird was held onto for a period of over an hour,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,,244102061,SRR,,04/20/19,,2019,NB39,,,,,,,Nestling,.,.,.,.,.,Yes ,.,.,.,17.4,011016D3B8,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,,244102053,SRS,,04/20/19,,2019,NB13,,,,,,,AHY,.,.,.,.,.,Yes,.,.,.,.,011016D0D2,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,,244102063,SSO,,04/20/19,,2019,NB39,,,,,,,Nestling,.,.,.,.,.,Yes ,.,.,.,14.2,011016D01F,,,,,,Weighed with metal band and RFID tag,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,,244102054,SWL,,04/20/19,,2019,NB8,,,,,,,AHY,.,.,.,.,.,Yes,.,.,.,.,011016E5BE,,,,,,"Babies present when trap set up, hidden when bird caught and trap removed; double poke on left wing but blood didn't flow; successfully bled on right",,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,,244102062,SYL,,04/20/19,,2019,NB39,,,,,,,Nestling,.,.,.,.,.,Yes ,.,.,.,16.9,011016D5C0,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,,244102055,YBG,,04/20/19,,2019,NB52,,,,,,,AHY,.,.,.,.,.,Yes,.,.,.,.,01103F856E,,,,,,"When attempting to catch: two parents visited the nest; first entered and left box quickly, second (caught) entered once; caught bird has high crest that's visibly larger than other caught birds, making lots of chatters and screeches; bird got away before blood was taken, but bands were applied; male singing began immediately after bird escaped; multiple later catch attempts on both parents at this box were unsuccessful. Re-captured 1/16/21, missing band. Blood sample taken, but only small sample present (cold weather).",,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,,244102057,YYG,,04/20/19,,2019,NB65,,,,,,,AHY,.,.,.,.,.,Yes,.,.,.,.,01103F4D16,,,,,,"Crest very grey, steely blue-grey bill; multiple unsuccessful bleeding attempts on L wing, one successful attempt on R wing",,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
