"ColorCombo","Community","Season"
"SDO",11,"Spring 2026 Nesting Period_Communities"
"SGB",8,"Spring 2026 Nesting Period_Communities"
"STT",8,"Spring 2026 Nesting Period_Communities"
"SWB",7,"Spring 2026 Nesting Period_Communities"
"SWT",11,"Spring 2026 Nesting Period_Communities"
"SYO",4,"Spring 2026 Nesting Period_Communities"
"WDB",3,"Spring 2026 Nesting Period_Communities"
"WNS",2,"Spring 2026 Nesting Period_Communities"
"WOG",12,"Spring 2026 Nesting Period_Communities"
"WPG",12,"Spring 2026 Nesting Period_Communities"
"WSY",12,"Spring 2026 Nesting Period_Communities"
"WYD",10,"Spring 2026 Nesting Period_Communities"
"YBN",12,"Spring 2026 Nesting Period_Communities"
"YDW",2,"Spring 2026 Nesting Period_Communities"
"YGD",2,"Spring 2026 Nesting Period_Communities"
"YGP",13,"Spring 2026 Nesting Period_Communities"
"YOD",9,"Spring 2026 Nesting Period_Communities"
"YPN",7,"Spring 2026 Nesting Period_Communities"
"YPS",6,"Spring 2026 Nesting Period_Communities"
"YSR",13,"Spring 2026 Nesting Period_Communities"
"YYN (was YNO)",1,"Spring 2026 Nesting Period_Communities"
"CRY",1,"Summer 2026 Post-Fledging_Communities"
"GBO (was GPT)",2,"Summer 2026 Post-Fledging_Communities"
"GDN (was GDY)",1,"Summer 2026 Post-Fledging_Communities"
"GDO",3,"Summer 2026 Post-Fledging_Communities"
"GNG",4,"Summer 2026 Post-Fledging_Communities"
"GPB",5,"Summer 2026 Post-Fledging_Communities"
"GPR",1,"Summer 2026 Post-Fledging_Communities"
"GPW",2,"Summer 2026 Post-Fledging_Communities"
"GSN",2,"Summer 2026 Post-Fledging_Communities"
"GTP",6,"Summer 2026 Post-Fledging_Communities"
"NRO",7,"Summer 2026 Post-Fledging_Communities"
"NSS",7,"Summer 2026 Post-Fledging_Communities"
"PDN",4,"Summer 2026 Post-Fledging_Communities"
"PND",8,"Summer 2026 Post-Fledging_Communities"
"RGT",9,"Summer 2026 Post-Fledging_Communities"
"RNO",8,"Summer 2026 Post-Fledging_Communities"
"ROW",5,"Summer 2026 Post-Fledging_Communities"
"RTT",10,"Summer 2026 Post-Fledging_Communities"
"SDO",11,"Summer 2026 Post-Fledging_Communities"
"SDR",4,"Summer 2026 Post-Fledging_Communities"
"SDT",4,"Summer 2026 Post-Fledging_Communities"
"SGB",9,"Summer 2026 Post-Fledging_Communities"
"SNR (was SNO)",12,"Summer 2026 Post-Fledging_Communities"
"SOG",6,"Summer 2026 Post-Fledging_Communities"
"SPT",6,"Summer 2026 Post-Fledging_Communities"
"SPW",5,"Summer 2026 Post-Fledging_Communities"
"SSS",4,"Summer 2026 Post-Fledging_Communities"
"STT",9,"Summer 2026 Post-Fledging_Communities"
"SWB",4,"Summer 2026 Post-Fledging_Communities"
"SYO",4,"Summer 2026 Post-Fledging_Communities"
"WDD",1,"Summer 2026 Post-Fledging_Communities"
"WDY",2,"Summer 2026 Post-Fledging_Communities"
"WNP",5,"Summer 2026 Post-Fledging_Communities"
"WNS",12,"Summer 2026 Post-Fledging_Communities"
"WOG",13,"Summer 2026 Post-Fledging_Communities"
"WPB",5,"Summer 2026 Post-Fledging_Communities"
"WPD",7,"Summer 2026 Post-Fledging_Communities"
"WPG",6,"Summer 2026 Post-Fledging_Communities"
"WPS",3,"Summer 2026 Post-Fledging_Communities"
"WSY",13,"Summer 2026 Post-Fledging_Communities"
"WYD",10,"Summer 2026 Post-Fledging_Communities"
"YBN",13,"Summer 2026 Post-Fledging_Communities"
"YDT",7,"Summer 2026 Post-Fledging_Communities"
"YDW",12,"Summer 2026 Post-Fledging_Communities"
"YGD",2,"Summer 2026 Post-Fledging_Communities"
"YGY",3,"Summer 2026 Post-Fledging_Communities"
"YOD",5,"Summer 2026 Post-Fledging_Communities"
"YPS",6,"Summer 2026 Post-Fledging_Communities"
"YRP",1,"Summer 2026 Post-Fledging_Communities"
"YSR",14,"Summer 2026 Post-Fledging_Communities"
"YWS",7,"Summer 2026 Post-Fledging_Communities"
"YYN (was YNO)",1,"Summer 2026 Post-Fledging_Communities"
"SWT",11,"Summer 2026 Post-Fledging_Communities"
"RDO",14,"Summer 2026 Post-Fledging_Communities"
