"ColorCombo","Community","Season"
"CRY",11,"Spring 2026 Nesting Period_Communities"
"WDG",11,"Spring 2026 Nesting Period_Communities"
"YRP",11,"Spring 2026 Nesting Period_Communities"
"WYD",11,"Spring 2026 Nesting Period_Communities"
"CGN",1,"Summer 2026 Post-Fledging_Communities"
"RRY",2,"Summer 2026 Post-Fledging_Communities"
"SDO",2,"Summer 2026 Post-Fledging_Communities"
"RRR",2,"Summer 2026 Post-Fledging_Communities"
"RRD",2,"Summer 2026 Post-Fledging_Communities"
"SWT",2,"Summer 2026 Post-Fledging_Communities"
"SYO",3,"Summer 2026 Post-Fledging_Communities"
"GOS",3,"Summer 2026 Post-Fledging_Communities"
"RSD",3,"Summer 2026 Post-Fledging_Communities"
"SYT",3,"Summer 2026 Post-Fledging_Communities"
"PBWorPWB",3,"Summer 2026 Post-Fledging_Communities"
"SWB",3,"Summer 2026 Post-Fledging_Communities"
"RBT",3,"Summer 2026 Post-Fledging_Communities"
"SYR",3,"Summer 2026 Post-Fledging_Communities"
"RBP",3,"Summer 2026 Post-Fledging_Communities"
"YWD",4,"Summer 2026 Post-Fledging_Communities"
"WBT",4,"Summer 2026 Post-Fledging_Communities"
"PNW",1,"Summer 2026 Post-Fledging_Communities"
"YDP",1,"Summer 2026 Post-Fledging_Communities"
"SOT",1,"Summer 2026 Post-Fledging_Communities"
"PLS",5,"Summer 2026 Post-Fledging_Communities"
"YPS",5,"Summer 2026 Post-Fledging_Communities"
"RTP",5,"Summer 2026 Post-Fledging_Communities"
"SOG",1,"Summer 2026 Post-Fledging_Communities"
"YBN",6,"Summer 2026 Post-Fledging_Communities"
"WOG",6,"Summer 2026 Post-Fledging_Communities"
"YWS",7,"Summer 2026 Post-Fledging_Communities"
"YDT",7,"Summer 2026 Post-Fledging_Communities"
"WSY",6,"Summer 2026 Post-Fledging_Communities"
"YDD",8,"Summer 2026 Post-Fledging_Communities"
"WWB",6,"Summer 2026 Post-Fledging_Communities"
"YGD",6,"Summer 2026 Post-Fledging_Communities"
"YDW",6,"Summer 2026 Post-Fledging_Communities"
"GBO (was GPT)",6,"Summer 2026 Post-Fledging_Communities"
"YSR",9,"Summer 2026 Post-Fledging_Communities"
"GDW (wasGYW)",10,"Summer 2026 Post-Fledging_Communities"
"PND",10,"Summer 2026 Post-Fledging_Communities"
"PNG",10,"Summer 2026 Post-Fledging_Communities"
"PNP",10,"Summer 2026 Post-Fledging_Communities"
"YOP",11,"Summer 2026 Post-Fledging_Communities"
"ROO",11,"Summer 2026 Post-Fledging_Communities"
"RLB",12,"Summer 2026 Post-Fledging_Communities"
"YBT",13,"Summer 2026 Post-Fledging_Communities"
"ROY",14,"Summer 2026 Post-Fledging_Communities"
"WBO",14,"Summer 2026 Post-Fledging_Communities"
"ROR",14,"Summer 2026 Post-Fledging_Communities"
"YBY",13,"Summer 2026 Post-Fledging_Communities"
"SWS",14,"Summer 2026 Post-Fledging_Communities"
"YGY",13,"Summer 2026 Post-Fledging_Communities"
"YND",13,"Summer 2026 Post-Fledging_Communities"
"GDO",13,"Summer 2026 Post-Fledging_Communities"
"PBS",13,"Summer 2026 Post-Fledging_Communities"
"PNL",13,"Summer 2026 Post-Fledging_Communities"
"PBP (was PBB)",13,"Summer 2026 Post-Fledging_Communities"
"WWD",15,"Summer 2026 Post-Fledging_Communities"
"SRP",15,"Summer 2026 Post-Fledging_Communities"
"GNT",15,"Summer 2026 Post-Fledging_Communities"
"WDN",15,"Summer 2026 Post-Fledging_Communities"
"WDW",15,"Summer 2026 Post-Fledging_Communities"
"STT",16,"Summer 2026 Post-Fledging_Communities"
"SGB",16,"Summer 2026 Post-Fledging_Communities"
"RGT",16,"Summer 2026 Post-Fledging_Communities"
"YPW",16,"Summer 2026 Post-Fledging_Communities"
"RTT",17,"Summer 2026 Post-Fledging_Communities"
"WYD",17,"Summer 2026 Post-Fledging_Communities"
"CRY",17,"Summer 2026 Post-Fledging_Communities"
"YYN (was YNO)",17,"Summer 2026 Post-Fledging_Communities"
"GDD (was GDR)",17,"Summer 2026 Post-Fledging_Communities"
"WDG",17,"Summer 2026 Post-Fledging_Communities"
"GTR",17,"Summer 2026 Post-Fledging_Communities"
