"Bird","Sex","Date_Captured","Location_Captured","Nest_2023_Nestbox","Nest_2023_Round","Nest_2023_BirdNumber","Nest_2024_Nestbox","Nest_2024_Round","Nest_2024_BirdNumber","Nest_2025_Nestbox","Nest_2025_Round","Nest_2025_BirdNumber","Nest_2026_Nestbox","Nest_2026_Round","Nest_2026_BirdNumber","RFID_09-10_2025_Age","RFID_09-10_2025_Feeders","RFID_09-10_2025_Season","RFID_04-05_2026_Age","RFID_04-05_2026_Feeders","RFID_04-05_2026_Season","RFID_06-07_2026_Age","RFID_06-07_2026_Feeders","RFID_06-07_2026_Season","Fall_2025_Community","Spring_2026_Community","Summer_2026_Community","StandardizedCommunity","Matches"
"LLS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","FirstRound","Bird1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LNL",NA,NA,NA,NA,NA,NA,"16A","FirstRound","Bird2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LNW",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EB1","FirstRound","Bird1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NOD","M","06/08/26","NB06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nestling","E, F","06-07 2026","Fall Not detected","Spring Not detected","Summer C3",NA,1
"NRO","F","06/17/26","FG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AHY","G","06-07 2026","Fall Not detected","Spring Not detected","Summer C5",NA,1
"NSS","F","06/18/26","FG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HY","G","06-07 2026","Fall Not detected","Spring Not detected","Summer C5",NA,1
"OLD",NA,NA,NA,"38","SecondRound","Bird1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OLD",NA,NA,NA,"43","SecondRound","Bird1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OLD",NA,NA,NA,"44","SecondRound","Bird1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OLD",NA,NA,NA,"45","SecondRound","Bird1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OLD",NA,NA,NA,"64","SecondRound","Bird1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OLD",NA,NA,NA,"65","SecondRound","Bird1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OLD",NA,NA,NA,"67","SecondRound","Bird1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OLD",NA,NA,NA,"73","SecondRound","Bird1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OLD",NA,NA,NA,"76","SecondRound","Bird1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OLD",NA,NA,NA,"82","SecondRound","Bird1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OLD",NA,NA,NA,"84","SecondRound","Bird1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OLD",NA,NA,NA,"87","SecondRound","Bird1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OLD",NA,NA,NA,"91","SecondRound","Bird1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ONL",NA,NA,NA,NA,NA,NA,"13","FirstRound","Bird1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ORO",NA,NA,NA,NA,NA,NA,"10","SecondRound","Bird3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PBB",NA,"07/04/23","FK",NA,NA,NA,"16A","FirstRound","Bird3","16A","FirstRound","Bird1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PBN","F","06/12/23","NB58","58","FirstRound","Bird1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PBO",NA,"06/09/23","NB6","6","FirstRound","Bird1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PBP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16A","FirstRound","Bird1","ASY","P, Q","09-10 2025","ASY","P, Q","04-05 2026","ASY","Q","06-07 2026","Fall C14","Spring C11","Summer C9",4,3
"PBS",NA,"06/12/23","NB52","52","FirstRound","Bird1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASY","O, P, Q","09-10 2025",NA,NA,NA,NA,NA,NA,"Fall C14","Spring Not detected","Summer Not detected",4,1
"PBT","F","06/09/23","NB6","6","FirstRound","Bird2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PBWorPWB","F","07/04/23","FG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASY","C, D","09-10 2025",NA,NA,NA,NA,NA,NA,"Fall C3","Spring Not detected","Summer Not detected",8,1
"PDN","M","04/19/26","NB01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","FirstRound","Bird2",NA,NA,NA,"AHY","B, C","04-05 2026","AHY","B, C","06-07 2026","Fall Not detected","Spring C3","Summer C2",8,2
"PLS","M","09/10/23","FE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","FirstRound","Bird1","ASY","E","09-10 2025","ASY","E, F","04-05 2026","ASY","E, F","06-07 2026","Fall C6","Spring C1","Summer C3",10,3
"PLS","M","09/10/23","FE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"6","FirstRound","Bird1","ASY","E","09-10 2025","ASY","E, F","04-05 2026","ASY","E, F","06-07 2026","Fall C6","Spring C1","Summer C3",10,3
"PNB","F","04/19/26","NB20",NA,NA,NA,NA,NA,NA,NA,NA,NA,"20","FirstRound","Bird2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PND","M","04/30/25","NB14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nestling","K, L","09-10 2025","SY","K, L","04-05 2026","SY","J, K, L","06-07 2026","Fall C11","Spring C8","Summer C7",3,3
"PNG","M","11/02/25","FK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nestling","K, L","09-10 2025","SY","K","04-05 2026","SY","K, L, M","06-07 2026","Fall C11","Spring C8","Summer C7",3,3
"PNL","F","07/10/23","FP",NA,NA,NA,NA,NA,NA,"16A","FirstRound","Bird2",NA,NA,NA,"ASY","P, Q","09-10 2025",NA,NA,NA,"ASY","Q","06-07 2026","Fall C14","Spring Not detected","Summer C9",4,2
"PNP","M","04/30/25","NB14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nestling","K, M","09-10 2025",NA,NA,NA,NA,NA,NA,"Fall C11","Spring Not detected","Summer Not detected",3,1
"PNW",NA,"07/04/23","FE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASY","D, E","09-10 2025",NA,NA,NA,NA,NA,NA,"Fall C5","Spring Not detected","Summer Not detected",9,1
"PWL",NA,"06/28/23","FI",NA,NA,NA,"10","SecondRound","Bird2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RBB","M","07/29/23","FC","26","FirstRound","Bird1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RBB","M","07/29/23","FC","29","FirstRound","Bird1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RBD","F","04/13/25","NB24",NA,NA,NA,NA,NA,NA,"24","FirstRound","Bird1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RBP","M","1/26/25","FC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AHY","C, D","09-10 2025","ASY","C","04-05 2026","ASY","C","06-07 2026","Fall C3","Spring C3","Summer C2",8,3
"RBT","M","07/29/23","FC",NA,NA,NA,"4","SecondRound","Bird2",NA,NA,NA,NA,NA,NA,"ASY","C","09-10 2025",NA,NA,NA,NA,NA,NA,"Fall C3","Spring Not detected","Summer Not detected",8,1
"RBY","M","07/29/23","FB",NA,NA,NA,NA,NA,NA,"1","FirstRound","Bird2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RDO","F","05/20/26","FJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AHY","J","06-07 2026","Fall Not detected","Spring Not detected","Summer C6",NA,1
"RDP","M","04/26/26","NB84",NA,NA,NA,NA,NA,NA,NA,NA,NA,"84","FirstRound","Bird1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RDY","M","11/22/25","FC",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","FirstRound","Bird2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RGT","M","06/20/25","FR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HY","R","09-10 2025","SY","Q, R","04-05 2026","SY","Q, R","06-07 2026","Fall C17","Spring C12","Summer C9",5,3
"RLB","F","05/29/25","FN",NA,NA,NA,"15C (old: 62)","FirstRound","Bird2",NA,NA,NA,NA,NA,NA,"ASY","M","09-10 2025","ASY","M","04-05 2026",NA,NA,NA,"Fall C13","Spring C10","Summer Not detected",NA,NA
"RLB","F","05/29/25","FN",NA,NA,NA,"16B (old: 94)","FirstRound","Bird2",NA,NA,NA,NA,NA,NA,"ASY","M","09-10 2025","ASY","M","04-05 2026",NA,NA,NA,"Fall C13","Spring C10","Summer Not detected",NA,NA
"RLR","F","10/29/23","FB",NA,NA,NA,"15C (old: 62)","FirstRound","Bird1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RNG","M","03/22/26","FD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AHY","D, E, F","04-05 2026",NA,NA,NA,"Fall Not detected","Spring C1","Summer Not detected",NA,1
"RNO","F","06/17/26","FL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HY","J, K, L","06-07 2026","Fall Not detected","Spring Not detected","Summer C7",3,1
"RNS",NA,"07/19/23","FB",NA,NA,NA,"15B (old: 54)","FirstRound","Bird2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RNY",NA,"04/23/21","NB98",NA,NA,NA,"3","FirstRound","Bird2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ROO","M","06/16/25","FM",NA,NA,NA,NA,NA,NA,NA,NA,NA,"15B (old: 54)","FirstRound","Bird2","HY","M, N","09-10 2025","SY","M, N","04-05 2026",NA,NA,NA,"Fall C12","Spring C9","Summer Not detected",13,1
"ROR","M","06/16/25","FN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nestling","N","09-10 2025",NA,NA,NA,NA,NA,NA,"Fall C15","Spring Not detected","Summer Not detected",NA,NA
"ROS","F","04/26/26","NB59",NA,NA,NA,NA,NA,NA,NA,NA,NA,"59","FirstRound","Bird1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ROW",NA,"04/22/21","NB53",NA,NA,NA,NA,NA,NA,NA,NA,NA,"14","FirstRound","Bird2",NA,NA,NA,"AHY","M, N","04-05 2026","AHY","M, N","06-07 2026","Fall Not detected","Spring C9","Summer C8",13,2
"ROW",NA,"04/22/21","NB53",NA,NA,NA,NA,NA,NA,NA,NA,NA,"53","FirstRound","Bird1",NA,NA,NA,"AHY","M, N","04-05 2026","AHY","M, N","06-07 2026","Fall Not detected","Spring C9","Summer C8",13,2
"ROY",NA,"04/22/21","NB53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nestling","N, O","09-10 2025",NA,NA,NA,NA,NA,NA,"Fall C15","Spring Not detected","Summer Not detected",NA,NA
"RPN","M","04/04/26","EB4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EB3","FirstRound","Bird1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RPN","M","04/04/26","EB4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EB4","FirstRound","Bird1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RPP","F","10/26/25","FQ",NA,NA,NA,NA,NA,NA,"14","FirstRound","Bird1","16A","FirstRound","Bird2",NA,NA,NA,"SY","P, Q","04-05 2026",NA,NA,NA,"Fall Not detected","Spring C11","Summer Not detected",4,1
"RPS","M","05/10/26","NB38B",NA,NA,NA,NA,NA,NA,NA,NA,NA,"38B (old: 95) DNE?","FirstRound","Bird1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RRD","F","04/13/25","NB01",NA,NA,NA,NA,NA,NA,"1","FirstRound","Bird1",NA,NA,NA,"AHY","A","09-10 2025",NA,NA,NA,NA,NA,NA,"Fall C2","Spring Not detected","Summer Not detected",7,1
"RRG",NA,"06/13/24","NB04",NA,NA,NA,"4","SecondRound","Bird1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RRO","M","06/06/24","FI",NA,NA,NA,NA,NA,NA,"12","FirstRound","Bird2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RRR","M","09/10/23","FA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASY","A","09-10 2025",NA,NA,NA,NA,NA,NA,"Fall C2","Spring Not detected","Summer Not detected",7,1
"RRY","F","09/10/23","FA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASY","A","09-10 2025",NA,NA,NA,NA,NA,NA,"Fall C2","Spring Not detected","Summer Not detected",7,1
"RSD","M","06/18/25","FC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HY","C, D","09-10 2025",NA,NA,NA,NA,NA,NA,"Fall C3","Spring Not detected","Summer Not detected",8,1
"RSG","F","04/19/26","NB16B",NA,NA,NA,NA,NA,NA,NA,NA,NA,"16B (old: 94)","FirstRound","Bird2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RTP","M","04/18/25","NB5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nestling","E","09-10 2025",NA,NA,NA,NA,NA,NA,"Fall C6","Spring Not detected","Summer Not detected",10,1
"RTT","F","10/26/25","FR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nestling","R, S","09-10 2025","SY","R, S","04-05 2026","SY","Q, R, S","06-07 2026","Fall C18","Spring C13","Summer C11",6,3
"RTW",NA,"06/06/24","FI",NA,NA,NA,NA,NA,NA,"11","SecondRound","Bird2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RWS","M","05/27/25","NB11",NA,NA,NA,"13","FirstRound","Bird2","11","SecondRound","Bird1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RYD","F","04/13/25","NB53",NA,NA,NA,NA,NA,NA,"53","FirstRound","Bird1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RYP","F","04/13/25","NB12",NA,NA,NA,NA,NA,NA,"12","FirstRound","Bird1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SDO","M","06/02/25","FA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HY","A","09-10 2025","SY","A","04-05 2026","SY","A","06-07 2026","Fall C2","Spring C2","Summer C1",7,3
"SDR","M","04/26/26","NB01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nestling","B, C, E","06-07 2026","Fall Not detected","Spring Not detected","Summer C2",NA,1
