"ColorCombo","Community","Season"
"NOD",3,"Summer 2026 Post-Fledging_Communities"
"WSY",4,"Summer 2026 Post-Fledging_Communities"
"YBN",4,"Summer 2026 Post-Fledging_Communities"
"WOG",4,"Summer 2026 Post-Fledging_Communities"
"YWS",5,"Summer 2026 Post-Fledging_Communities"
"WPD",5,"Summer 2026 Post-Fledging_Communities"
"YDT",5,"Summer 2026 Post-Fledging_Communities"
"WPG",3,"Summer 2026 Post-Fledging_Communities"
"NRO",5,"Summer 2026 Post-Fledging_Communities"
"NSS",5,"Summer 2026 Post-Fledging_Communities"
"YDW",6,"Summer 2026 Post-Fledging_Communities"
"WNS",6,"Summer 2026 Post-Fledging_Communities"
"SNR (was SNO)",6,"Summer 2026 Post-Fledging_Communities"
"GBO (was GPT)",6,"Summer 2026 Post-Fledging_Communities"
"YGD",6,"Summer 2026 Post-Fledging_Communities"
"GPW",6,"Summer 2026 Post-Fledging_Communities"
"WDY",6,"Summer 2026 Post-Fledging_Communities"
"GSN",6,"Summer 2026 Post-Fledging_Communities"
"YSR",6,"Summer 2026 Post-Fledging_Communities"
"RDO",6,"Summer 2026 Post-Fledging_Communities"
"PND",7,"Summer 2026 Post-Fledging_Communities"
"RNO",7,"Summer 2026 Post-Fledging_Communities"
"PNG",7,"Summer 2026 Post-Fledging_Communities"
"GLS",7,"Summer 2026 Post-Fledging_Communities"
"WPB",8,"Summer 2026 Post-Fledging_Communities"
"WNP",8,"Summer 2026 Post-Fledging_Communities"
"SPW",8,"Summer 2026 Post-Fledging_Communities"
"ROW",8,"Summer 2026 Post-Fledging_Communities"
"YND",8,"Summer 2026 Post-Fledging_Communities"
"YOD",8,"Summer 2026 Post-Fledging_Communities"
"GPB",8,"Summer 2026 Post-Fledging_Communities"
"YBY",9,"Summer 2026 Post-Fledging_Communities"
"YGY",9,"Summer 2026 Post-Fledging_Communities"
"YBT",9,"Summer 2026 Post-Fledging_Communities"
"GDO",9,"Summer 2026 Post-Fledging_Communities"
"WPS",9,"Summer 2026 Post-Fledging_Communities"
"WDB",10,"Summer 2026 Post-Fledging_Communities"
"WTW",9,"Summer 2026 Post-Fledging_Communities"
"SGB",9,"Summer 2026 Post-Fledging_Communities"
"PNL",9,"Summer 2026 Post-Fledging_Communities"
"WDT",9,"Summer 2026 Post-Fledging_Communities"
"RGT",9,"Summer 2026 Post-Fledging_Communities"
"RTT",11,"Summer 2026 Post-Fledging_Communities"
"PBP (was PBB)",9,"Summer 2026 Post-Fledging_Communities"
"STT",9,"Summer 2026 Post-Fledging_Communities"
"YYN (was YNO)",11,"Summer 2026 Post-Fledging_Communities"
"GDN (was GDY)",11,"Summer 2026 Post-Fledging_Communities"
"GPR",11,"Summer 2026 Post-Fledging_Communities"
"WDD",11,"Summer 2026 Post-Fledging_Communities"
"CRY",11,"Summer 2026 Post-Fledging_Communities"
"WDG",11,"Summer 2026 Post-Fledging_Communities"
"YRP",11,"Summer 2026 Post-Fledging_Communities"
"WYD",11,"Summer 2026 Post-Fledging_Communities"
